<Node object at 0x2ad83e7cb890: '0.747' (None)>,2
<Node object at 0x2ad876d6b390: '0.847' (None)>,3
<Node object at 0x2ad8761c0690: '0.780' (None)>,79
<Node object at 0x2ad8745b5150: '0.544' (None)>,3
<Node object at 0x2ad8712af850: '0.775' (None)>,1
<Node object at 0x2ad874411510: '0.836' (None)>,1
<Node object at 0x2ad870064090: '0.731' (None)>,2
<Node object at 0x2ad83f70b5d0: '0.839' (None)>,1
<Node object at 0x2ad8463a45d0: '0.334' (None)>,1
<Node object at 0x2ad8761d5610: '0.818' (None)>,79
<Node object at 0x2ad83f237690: '0.778' (None)>,1
<Node object at 0x2ad8724e86d0: '0.347' (None)>,1
<Node object at 0x2ad874c4a750: '0.865' (None)>,1
<Node object at 0x2ad87268e850: '0.752' (None)>,1
<Node object at 0x2ad87003f890: '0.649' (None)>,2
<Node object at 0x2ad894cb49d0: '0.753' (None)>,1
<Node object at 0x2ad8739e5a10: '0.000' (None)>,1
<Node object at 0x2ad874347a90: '0.804' (None)>,9
<Node object at 0x2ad871e78ad0: '0.795' (None)>,2
<Node object at 0x2ad87005ab50: '0.576' (None)>,32
<Node object at 0x2ad85a33c550: '1.000' (None)>,1
<Node object at 0x2ad85a38c090: '0.483' (None)>,1
<Node object at 0x2ad82d9319d0: '0.855' (None)>,613
<Node object at 0x2ad83f1900d0: '0.863' (None)>,1
<Node object at 0x2ad874a3bc10: '0.909' (None)>,141
<Node object at 0x2ad8728f5e10: '0.800' (None)>,3
<Node object at 0x2ad86f8d7e90: '0.894' (None)>,405
<Node object at 0x2ad85a388ed0: '0.568' (None)>,1
<Node object at 0x2ad844339f10: '0.849' (None)>,1
<Node object at 0x2ad86f712ad0: '0.339' (None)>,2
<Node object at 0x2ad8739af050: '0.409' (None)>,5
<Node object at 0x2ad8744110d0: '0.855' (None)>,1
<Node object at 0x2ad874352550: '0.773' (None)>,7
<Node object at 0x2ad8759c2110: '0.000' (None)>,5
<Node object at 0x2ad8787a4190: '0.881' (None)>,3
<Node object at 0x2ad83e7551d0: '0.936' (None)>,136
<Node object at 0x2ad878845c10: '0.724' (None)>,1
<Node object at 0x2ad840a992d0: '0.853' (None)>,1
<Node object at 0x2ad87004a310: '0.765' (None)>,2
<Node object at 0x2ad83e72c390: '0.861' (None)>,143
<Node object at 0x2ad83fb5d3d0: '0.661' (None)>,1
<Node object at 0x2ad8928524d0: '0.002' (None)>,4
<Node object at 0x2ad87993f450: '0.879' (None)>,1
<Node object at 0x2ad877ef0490: '0.481' (None)>,1
<Node object at 0x2ad8729214d0: '0.907' (None)>,3
<Node object at 0x2ad83ec0c110: '0.841' (None)>,1
<Node object at 0x2ad872334590: '0.893' (None)>,1
<Node object at 0x2ad8799655d0: '0.911' (None)>,1
<Node object at 0x2ad890a16610: '0.737' (None)>,1
<Node object at 0x2ad871a3d110: '0.854' (None)>,3
<Node object at 0x2ad8441a96d0: '0.510' (None)>,2
<Node object at 0x2ad86e7da710: '0.851' (None)>,33
<Node object at 0x2ad8460dcad0: '0.863' (None)>,1
<Node object at 0x2ad8724ed7d0: '0.878' (None)>,1
<Node object at 0x2ad82d9318d0: '0.843' (None)>,613
<Node object at 0x2ad872844990: '0.996' (None)>,7
<Node object at 0x2ad83f788d50: '0.894' (None)>,4
<Node object at 0x2ad845357a50: '0.532' (None)>,2
<Node object at 0x2ad877cb9ad0: '0.000' (None)>,1
<Node object at 0x2ad83eb9bb50: '0.326' (None)>,73
<Node object at 0x2ad85944cb90: '0.000' (None)>,1
<Node object at 0x2ad87027dbd0: '0.780' (None)>,2
<Node object at 0x2ad87005a690: '0.310' (None)>,87
<Node object at 0x2ad8763b4150: '0.861' (None)>,9
<Node object at 0x2ad870054d90: '0.833' (None)>,94
<Node object at 0x2ad86f3226d0: '0.775' (None)>,2
<Node object at 0x2ad838885dd0: '0.812' (None)>,5
<Node object at 0x2ad8762e7e50: '0.846' (None)>,1
